BLZ;Institutsname;BIC
21042076;Commerzbank Eckernförde;COBADEFFXXX
21050000;HSH Nordbank Hamburg;HSHNDEHHXXX
21050170;Förde Sparkasse;NOLADE21KIE
21051275;Bordesholmer Sparkasse;NOLADE21BOR
21051580;Spk Kreis Plön -alt-;NOLADE21PLN
21052090;Sparkasse Eckernförde -alt-;NOLADE21ECK
21060237;Ev. Darlehnsgen. Kiel -alt-;GENODEF1EDG
21070020;Deutsche Bank Kiel;DEUTDEHH210
21070024;Deutsche Bank PGK Kiel;DEUTDEDB210
21080050;Commerzbank Kiel;DRESDEFF210
21089201;Commerzbank ITGK Kiel;DRESDEFFI07
21090007;Kieler Volksbank;GENODEF1KIL
21090619;apoBank Kiel;DAAEDED1019
21090900;PSD Bank Kiel;GENODEF1P11
21092023;Eckernförder Bank VRB;GENODEF1EFO
21210111;SEB Neumünster;ESSEDE5F212
21240040;Commerzbank Neumünster;COBADEFFXXX
21241540;Commerzbank Bad Bramstedt;COBADEFFXXX
21261089;Raiffeisenbank Wasbek -alt-;GENODEF1WAS
21261227;Raiffbk Kl-Kummerfeld -alt-;GENODEF1BOO
21270020;Deutsche Bank Neumünster;DEUTDEHH212
21270024;Deutsche Bank PGK Neumünste;DEUTDEDB212
21280002;Commerzbank Neumünster;DRESDEFF212
21290016;VR Bank Neumünster;GENODEF1NMS
21340010;Commerzbank Neustadt Holst;COBADEFFXXX
21352240;Spk Holstein Eutin;NOLADE21HOL
21390008;VR Bk Ostholstein Nord-Plön;GENODEF1NSH
21392218;Volksbank Eutin;GENODEF1EUT
21440045;Commerzbank Rendsburg;COBADEFFXXX
21450000;Spk Mittelholstein Rendsbg;NOLADE21RDB
21451205;Sparkasse Büdelsdorf -alt-;NOLADE21BDF
21452030;Spk Hohenwestedt;NOLADE21HWS
21463603;VB-Raiffbk i Kr Rendsburg;GENODEF1NTO
21464671;Raiffbk Todenbüttel;GENODEF1TOB
21480003;Commerzbank Rendsburg;DRESDEFF214
21510600;Sydbank Fil. Flensburg;SYBKDE22XXX
21520100;Union-Bank Flensburg;UNBNDE21XXX
21540060;Commerzbank Flensburg;COBADEFFXXX
21565316;Raiffbk Handewitt;GENODEF1HDW
21567360;Raiffbk Kleinjörl -alt-;GENODEF1KJO
21570011;Deutsche Bank Flensburg;DEUTDEHH215
21570024;Deutsche Bank PGK Flensburg;DEUTDEDB215
21580000;Commerzbank Flensburg;DRESDEFF215
21661719;VR Bank Flensburg-Schleswig;GENODEF1RSL
21690020;Schleswiger Volksbank;GENODEF1SLW
21740043;Commerzbank Husum Nordsee;COBADEFFXXX
21741674;Commerzbank Niebüll;COBADEFFXXX
21741825;Commerzbank Westerland;COBADEFFXXX
21750000;Nord-Ostsee Spk Schleswig;NOLADE21NOS
21751230;Spk Bredstedt -alt-;NOLADE21BRD
21762550;Husumer Volksbank;GENODEF1HUM
21763542;VR Bank Niebüll;GENODEF1BDS
21770011;Deutsche Bank Husum Nordsee;DEUTDEHH217
21770024;Deutsche Bank PGK Husum;DEUTDEDB217
21791805;Sylter Bank;GENODEF1SYL
21791906;Föhr-Amrumer Bank;GENODEF1WYK
21840078;Commerzbank Heide Holst;COBADEFFXXX
21841328;Commerzbank Brunsbüttel;COBADEFFXXX
21851830;Verb Spk Meldorf -alt-;NOLADE21MLD
21852310;Spk Hennstedt-Wesselburen;NOLADE21WEB
21860418;Raiffeisenbank Heide;GENODEF1RHE
21890022;Dithmarscher VB Heide;GENODEF1DVR
22140028;Commerzbank Elmshorn;COBADEFFXXX
22141028;Commerzbank Kaltenkirchen;COBADEFFXXX
22141428;Commerzbank Pinneberg;COBADEFFXXX
22141628;Commerzbank Uetersen;COBADEFFXXX
22150000;Spk Elmshorn;NOLADE21ELH
22151730;St Spk Wedel;NOLADE21WED
22163114;Raiffbk Elbmarsch Heist;GENODEF1HTE
22180000;Commerzbank Elmshorn;DRESDEFF221
22181400;Commerzbank Pinneberg;DRESDEFF206
22190030;Volksbank Elmshorn -alt-;GENODEF1ELM
22191405;VB Pinneberg-Elmshorn;GENODEF1PIN
22240073;Commerzbank Itzehoe;COBADEFFXXX
22250020;Spk Westholstein;NOLADE21WHO
22251580;Ldspk Schenefeld -alt-;NOLADE21SHF
22280000;Commerzbank Itzehoe;DRESDEFF201
22290031;VB Raiffbk Itzehoe;GENODEF1VIT
23000000;BBk Hamburg eh Lübeck;MARKDEF1230
23010111;SEB Lübeck;ESSEDE5F230
23040022;Commerzbank Lübeck;COBADEFFXXX
23050000;HSH Nordbank Hamburg;HSHNDEHH230
23050101;Sparkasse zu Lübeck;NOLADE21SPL
23051030;Spk Südholstein Neumünster;NOLADE21SHO
23051610;Spk Stormarn -alt-;NOLADE21STO
23052750;Kr Spk Herzogtum Lauenburg;NOLADE21RZB
23061220;Raiffeisenbank Leezen;GENODEF1LZN
23062124;Raiffeisenbank Bargteheide;GENODEF1BAR
23063129;Raiffeisenbank Lauenburg;GENODEF1RLB
23064107;Raiffeisenbank Büchen;GENODEF1BCH
23070700;Deutsche Bank PGK Lübeck;DEUTDEDB237
23070710;Deutsche Bank;DEUTDEHH222
23080040;Commerzbank Lübeck;DRESDEFF230
23089201;Commerzbank ITGK Lübeck;DRESDEFFI08
23090142;Volksbank Lübeck;GENODEF1HLU
23092620;apoBank Lübeck;DAAEDED1020
24040000;Commerzbank Lüneburg;COBADEFFXXX
24050110;Spk Lüneburg;NOLADE21LBG
24060300;VB Lüneburger Heide;GENODEF1NBU
24061392;VB Bleckede-Dahlenbg -alt-;GENODEF1DAB
24070024;Deutsche Bank PGK Lüneburg;DEUTDEDB240
24070075;Deutsche Bank Lüneburg;DEUTDE2H240
24080000;Commerzbank Lüneburg;DRESDEFF240
24090041;VB Lüneburg -alt-;GENODEF1LUE
24121000;Ritter Kredit Stade;GENODED1RKI
24140041;Commerzbank Cuxhaven;COBADEFFXXX
24150001;St Spk Cuxhaven;BRLADE21CUX
24151005;Spk Stade-Altes Land;NOLADE21STS
24151116;Kreissparkasse Stade;NOLADE21STK
24151235;Spk Rotenburg-Bremervörde;BRLADE21ROB
24161594;Zevener Volksbank;GENODEF1SIT
24162898;Spar- u Darlehnskasse Börde;GENODEF1LAS
24180000;Commerzbank Otterndorf;DRESDEFF242
24180001;Commerzbank Cuxhaven;DRESDEFF241
24191015;Volksbank Stade-Cuxhaven;GENODEF1SDE
25000000;BBk Hannover;MARKDEF1250
25010030;Postbank Hannover;PBNKDEFFXXX
25010111;SEB Hannover;ESSEDE5F250
25010424;Aareal Bank;AARBDE5W250
25010600;Deuhypo Hannover;DEHYDE2HXXX
25010900;Calenbg Kreditver Hannover;CKVHDE21XXX
25020200;BHF-BANK Hannover;BHFBDEFF250
25020600;Santander Consumer Bank;SCFBDE33XXX
25040060;Commerzbank CC Hannover;COBADEFFXXX
25040061;Commerzbank CC Hannover;COBADEFFXXX
25040066;Commerzbank Hannover;COBADEFFXXX
25040090;*** bank-verlag Testsystem;
25050000;Nord LB Hannover;NOLADE2HXXX
25050055;ZVA Nord LB SH;NOLADE21CSH
25050180;Sparkasse Hannover;SPKHDE2HXXX
25050299;Kr Spk Hannover -alt-;
25055500;LBS-Norddt Hannover;NOLADE21LBS
25060000;DZ BANK;GENODEFF250
25060180;Bankhaus Hallbaum;HALLDE2HXXX
25060701;EKK Hannover -alt-;GENODEF1EK3
25069168;VB u RB Leinebgld Delligsen;GENODEF1DES
25069262;Raiff-VB Neustadt;GENODEF1NST
25069270;Volksbank Aller-Oker;GENODEF1MUA
25069370;VB Vechelde-Wendeburg;GENODEF1WBU
25069503;VB Diepholz-Barnstorf;GENODEF1BNT
25070024;Deutsche Bank PGK Hannover;DEUTDEDBHAN
25070066;Deutsche Bank Stadthagen;DEUTDE2H265
25070070;Deutsche Bank Hannover;DEUTDE2HXXX
25070077;Deutsche Bank Nienburg;DEUTDE2H256
25070084;Deutsche Bank Soltau;DEUTDE2H258
25070086;Deutsche Bank Holzminden;DEUTDE2H251
25080020;Commerzbank Hannover;DRESDEFF250
25080085;Commerzbank ITGK2 Hannov;DRESDEFFI65
25089220;Commerzbank ITGK Hannover;DRESDEFFI09
25090300;Bk f Schiffahrt Hannover;GENODEF1BFS
25090500;Sparda-Bank Hannover;GENODEF1S09
25090608;apoBank Hannover;DAAEDED1008
25090900;PSD Bank Hannover;GENODEF1P09
25120510;Bank für Sozialwirtschaft;BFSWDE33HAN
25151270;St Spk Barsinghausen;NOLADE21BAH
25151371;Stadtsparkasse Burgdorf;NOLADE21BUF
25152375;Kr Spk Fallingbostel;NOLADE21WAL
25152490;St Spk Wunstorf;NOLADE21WST
25190001;Hannoversche Volksbank;VOHADE2HXXX
25190088;HanVB - GS nur für GAA;VOHADE2HXXX
25193331;Volksbank;GENODEF1PAT
25250001;Kr Spk Peine;NOLADE21PEI
25260010;Volksbank Peine;GENODEF1PEV
25410111;SEB Hameln;ESSEDE5F254
25410200;BHW Bauspk Hameln;BHWBDE2HXXX
25440047;Commerzbank Hameln;COBADEFFXXX
25450001;St Spk Hameln;NOLADE21HMS
25450110;Spk Weserbergland Hameln;NOLADE21SWB
25451345;St Spk Bad Pyrmont;NOLADE21PMT
25451450;Spk Weserbergland Bodenwerd;NOLADE21BOW
25451655;Spk Weserbergland Hess Old;NOLADE21HEO
25462160;VB Hameln-Stadthagen;GENODEF1HMP
25462680;VB im Wesertal Coppenbrügge;GENODEF1COP
25470024;Deutsche Bank PGK Hameln;DEUTDEDB254
25470073;Deutsche Bank Hameln;DEUTDE2H254
25471024;Deutsche Bank PGK Rinteln;DEUTDEDB264
25471073;Deutsche Bank Rinteln;DEUTDE2H264
25480021;Commerzbank Hameln;DRESDEFF254
25491273;Volksbank Aerzen -alt-;GENODED1AEZ
25491744;Volksbank Bad Münder;GENODED1BMU
25541426;Commerzbank Bückeburg;COBADEFFXXX
25551480;Sparkasse Schaumburg;NOLADE21SHG
25591413;Volksbank in Schaumburg;GENODEF1BCK
25621327;Oldb Landesbank Diepholz;OLBODEH2XXX
25641302;Commerzbank Diepholz;COBADEFFXXX
25650106;Sparkasse Nienburg;NOLADE21NIB
25651325;Kr Spk Diepholz;BRLADE21DHZ
25662540;Volksbank Steyerberg;GENODEF1STY
25663584;Volksbank Aller-Weser;GENODEF1HOY
25690009;Volksbank Nienburg;GENODEF1NIN
25691633;Volksbank Sulingen;GENODEF1SUL
25740061;Commerzbank Celle;COBADEFFXXX
25750001;Sparkasse Celle;NOLADE21CEL
25761894;Volksbank Wittingen-Klötze;GENODEF1WIK
25770024;Deutsche Bank PGK Celle;DEUTDEDB257
25770069;Deutsche Bank Celle;DEUTDE2H257
25780022;Commerzbank Celle;DRESDEFF257
25791516;Volksbank Hankensbüttel;GENODEF1HKB
25791635;Volksbank Südheide;GENODEF1HMN
25840048;Commerzbank Uelzen;COBADEFFXXX
25841403;Commerzbank Lüchow;COBADEFFXXX
25841708;Commerzbank Schneverdingen;COBADEFFXXX
25850110;Sparkasse Uelzen Lüchow-Dbg;NOLADE21UEL
25851335;Spk Uelzen Lüchow-Dbg.-alt-;NOLADE21DAN
25851660;Kr Spk Soltau;NOLADE21SOL
25861395;Volksbank Dannenberg -alt-;GENODEF1DAN
25861990;Volksbank Clenze-Hitzacker;GENODEF1CLZ
